,beer_kor_name,beer_eng_name,class,country,description,score,aroma,appearance,flavor,mouthfeel,type
10,구스 아일랜드 썸머 타임,Goose Island Summertime,Kolsch / Kolsch-Style,US,"Kolsch, the clean and refreshing beer style of Cologne, Germany, quenches summertime thirst. This pale golden ale with a lightly fruity aroma is cold-conditioned or lagered after its primary fermentation. More simply, our Summertime uses only the finest malts and German hops to create the perfect beer for hot Summer days and warm Summer nights.",3.062823276,3.174887892,6.00896861,3.152466368,12.14125561,기타
11,구스 아일랜드 페페 네로,Goose Island Pepe Nero,Saison / Farmhouse - Dark,US,A black rye saison that combines a roasted/smoky malt character in balance with a pepper spice from the yeast.  Finishes dry with a refreshing level of carbonation.,3.5315,3.783964365,6.971046771,3.476614699,14.26726058,"흑맥주, 기타"
12,구스 아일랜드 혼커스 에일,Goose Island Honkers Ale,Bitter - Ordinary / Best,US,"Inspired by visits to English country pubs, Honker’s Ale combines a fruity hop aroma with a rich malt middle to create a perfectly balanced beer. Immensely drinkable, Honker’s Ale is not only the beer you can trust but one you’ll look forward to time and again.",3.233333333,3.436363636,6.284090909,3.163636364,12.70681818,"에일, 기타"
13,구스 아일랜드 312,Goose Island 312 Urban Wheat Ale,Wheat Ale,US,"Like the digits suggest, it’s a beer that’s densely populated with flavor and loaded with character. We don’t filter it, so none of its life and soul is stripped away.  The first thing you notice is the hazy, cloudy appearance. That’s how you know it’s unfiltered. What hits you next is the spicy aroma of Cascade hops, followed by the crispy, fruity ale flavor delivered in a smooth, creamy body, the result of blending barley malt with torrified wheat. It’s not like any other Goose Island Beer, but no less that you’d expect.",2.831861702,3.064814815,5.703703704,2.905092593,11.44907407,밀맥주
14,기네스 드라우트,Guinness Draught,Stout - Dry / Irish,IE,"Nitro-can, nitro-keg and nitro-bottle; Filtered

Usually called Draught; sometimes called Cold or Extra Cold - same beer, but served colder. Abv ranges from 4.1 to 4.3 % depending on where it was brewed - Guinness exports a hopped and concentrated wort to regional breweries who then brew it on site.

Launched in 1961. 

Ingredients: Pale ale malt, about 25 to 30% flaked barley, and about 10% roasted barley, with no other grains or sugars; several hop varieties, mainly Goldings (pellets and isomerized extract); a flocculent head-forming ale yeast.",3.462253963,4.292479109,6.635097493,3.470752089,13.79665738,"흑맥주, 드라이"
15,기네스 엑스트라 스타우트(북미),Guinness Extra Stout (North America),Stout - Dry / Irish,CA,"Labatt’s brew a pale ale base to which is added the unfermented but hopped Guinness wort extract. Guinness Extra Stout is brewed in Canada by Labatt under license from Arthur Guinness Son &amp; Company.  Editor’s Note:  It looks like Moosehead is also brewing Guinness.  Bottles in the US are from there of late, but Canadian bottles are still showing Labatt.  04/23/06",3.35995785,3.941441441,6.407657658,3.382882883,13.18243243,"흑맥주, 드라이"
16,기네스 엑스트라 스타우트(세계),Guinness Foreign Extra Stout,Stout - Extra / Foreign / Tropical,IE,"Foreign Extra Stout is a beer like no other.  The most full-flavoured of all.  Singular and striking.  Uniquely satisfying.  Brewed with extra hops and roasted barley for a natural bite.  Bitter and sweet.  Refreshingly crisp.  Always rewarding.  Pure beauty.  Pure GUINNESS.



Editor’s Note:  This is the standard FES.  Sometimes it is imported from Ireland but more often it is brewed locally.  This version is most common in the Caribbean and Africa.  All versions from those places, save for Jamaica, Nigeria, Kenya and Ghana should be rated here.",3.657865558,4.059907834,7.202764977,3.686635945,14.64285714,흑맥주
17,기네스 흑맥주,Guinness Black Lager,Schwarzbier / Black Lager,IE,"Guinness Black Lager is cold-brewed with roasted barley to deliver the refreshing taste of lager with the unique character of Guinness. Enjoy ice cold straight from the bottle. 


Known as Premium Beer in Malaysia, where it is 5%.",2.741977077,3.322939866,5.302895323,2.748329621,10.73051225,"흑맥주, 라거"
18,기린 라거,Kirin Lager,Pale Lager - International / Premium,JP,"Original recipe, low-temperature fermentation, longer aging.

Editor's Note: Also brewed in the US: ""Anheuser-Busch began brewing Kirin Lager, Kirin Ichiban and Kirin Light at its Los Angeles brewery in 1997. The agreement marks the first time Anheuser-Busch has produced foreign brands for sale in the United States.""",2.075,2.515942029,4.092753623,2.339130435,7.950724638,라거
19,기린 이치방,Kirin Ichiban,Pale Lager - International / Premium,JP,"Bottle, can and keg: Filtered.  
Brewed under license in various locations around the world (UK, USA, Germany, etc) to differing recipes and abv. 

Finest barley malt, premium hops, smooth finish, no bitter aftertaste.",2.231762918,2.944444444,4.761574074,2.576388889,9.287037037,라거
20,남산,Kabrew Namsan Mountain Premium Citra Ale,ISA - Session IPA,KR,Namsan Mountain is a premium ale that combines Citra hop's lemon and orange scents with Mosaic hop's passion fruit and black currant scent.,0,4,8,4,14,IPA
21,버드와이저,Budweiser,Pale Lager - American,US,"Brewed and sold since 1876,  Budweiser is distributed in more than 70 countries. Budweiser leads the U.S. Premium beer category, outselling all other domestic premium beers combined. In fact, one in almost every five beers sold in the United States today is a Budweiser. 

""We know of no brand produced by any other brewer which costs so much to brew and age. Our exclusive Beechwood Aging produces a taste, a smoothness and a drinkability you will find in no other beer at any price.""

""Brewed with 100% natural ingredients. We use only the finest hops, barley malt, rice, yeast and water. We craft and age Budweiser using time-honoured brewing methods.""",1.546582164,2.611111111,3.810606061,2.255050505,7.46969697,라거
22,버드와이저 셀렉트,Budweiser Select,Pale Lager - American,US,"American-style lager that is long brewed for a crisp taste that finishes clean.  It contains only 99 calories, 3.1 grams of carbohydrates and 4.3 percent alcohol by volume per 12 oz. serving.",1.483445946,2.064587973,3.042316258,1.997772829,5.755011136,라거
23,버드와이저 버드바,Budweiser Budvar,Pilsener - Bohemian / Czech,CZ,"Can, bottle, keg: Filtered
B:Original / Original Czech Lager

Sold as Czechvar in most of the Americas (due to a trademark dispute with Anheuser-Busch), and as Budweiser Budvar in the rest of the world. Has adopted the subtitles ""B: Original"", ""Original Czech Lager"" or just ""Original"", depending on market, to emphasis that the company was the first to use the Budweiser name. 

Brewed using whole-cone, Saaz hops from ?atec, pristine water from an Ice Age aquifer, Moravian malting barley and our heritage lager yeast, this classic rich and full-flavoured lager sets the gold standard for Czech brewing across the world. The tradition of cold-conditioning in our brewery cellars for seven times longer than most other beers creates a pale lager with a sweet, deep golden body and an aromatic, hoppy foam. Bold in taste, yet refreshing and perfectly balanced.",3.155094924,0,0,0,0,필스너
24,버드와이저 버드바 흑맥주,Budweiser Budvar Dark,Dark Lager - Dunkel / Tmavy,CZ ,"Bottle: Filtered 
Tmavy Le?ak 

Budweiser Budvar Dark is a retro-beer. This is because it has been designed to come as close as possible to how all Bohemian and Bavarian lagers tasted before bottom fermented golden lager stole the show in the mid nineteenth century. Now, thanks to Budweiser Budvar, the Darkside is moving centre stage again.

Enjoying the same brewing cycle as Original, Dark gets its delicious roasted flavour from being brewed from three types of malt; Munich, Caramel and Roasted.",3.213574661,3.604545455,6.302272727,3.193181818,12.79545455,"라거, 흑맥주"
25,사이프러스 비너스,Cyprus Venus,Weissbier - Hefeweizen,CY,,0,0,0,0,0,밀맥주
26,데스페라도스,Desperados,Flavored - Other,FR ,"Richness of a universe, power of a name, refreshing tasting, Desperados is a generous beer with the typified taste.


Beer with tequila barrel aged lager and natural flavor.",1.820689655,2.465116279,3.590697674,2.088372093,6.855813953,과일
27,데스페라도스 레드,Desperados Red,Flavored - Other,FR,"Beer aromatized with tequila, cachaca and guarana.",1.821787709,2.502857143,3.422857143,2,6.428571429,과일
28,드라이 D,Hite D (Dry Finish),Pale Lager - International / Premium,KR,Refresh your spirits.  Break away from the daily grind.  Hite D is brewed with our exclusive Dry Finish process using the select dry yeast.,2.093220339,2.542372881,3.966101695,2.355932203,8.118644068,라거
29,라구니타스 IPA,Lagunitas India Pale Ale (IPA),IPA,US,"This is our unique version of an ancient style. A style as old as the ocean trade routes of the last centuries Great Ships. Not as old as the equator they had to cross twice enroute, nor as old as the 10,000 or so miles of Di-Hydrogen Oxide and Sodium upon which they sailed, but older than the Circulithium-4 Lentloid that binds the Lupulin Quartnate onto your taste buds. Weird. Think about it. Now stop. OK, go again, now stop. Think again, and stop. But we digress. Made with 43 different hops and 65 various malts, this redolent ale will likely float your boat, whatever planet you’re on.",3.569319271,3.598465473,6.933503836,3.475703325,14.03836317,IPA
30,라구니타스 데이타임,Lagunitas DayTime,ISA - Session IPA,US,"A Fractional IPA

At 4% ABV and only 98 calories, DayTime IPA represents everything we know about making hop-forward beer, expressed in a sotto voice.

The beer in this can has achieved what we all hope for ourselves; to be made new again. There is freedom in burning down the house of expectations and it confers an undeniable lightness to being. We didn't invent these truths; they invented us.",3.510267857,3.344578313,6.636144578,3.257831325,13.6746988,IPA
31,라구니타스 막시무스,Lagunitas Maximus IPA,IIPA DIPA - Imperial / Double IPA,US,"At the height of the heat in the heart of the summer, we felt that the only cure was a raging mouthful of fresh hops and malt. Caution: May remove enamel from teeth.  This is Lagunitas IPA pumped up by about 30%!
IBU: 72.41",3.757428915,3.830275229,7.474770642,3.77293578,15.24311927,IPA
32,칭따오 라오산 4.0,Tsingtao Laoshan 4.0% 10°P,Pale Lager - International / Premium,CN,"Ingredients: water, barley malt, rice, syrup, hops.



NOTE: Under this entry, rate ONLY Laoshan with 4%ABV here. If it differs in any way and doesn’t match the other entries under the brewer, please send in a bug report with the alcohol percentage, degrees plato (important!), the GTIN and preferably a link to a picture of both the front and the back label so that we can set up an entry.",1.804545455,2.523809524,3.523809524,2.285714286,6.904761905,라거
33,칭따오 라오산 4.7,Tsingtao Laoshan 4.7% 11°P,Pale Lager - International / Premium,CN,"Lao Shan Premium Beer embodies the passion and traditional craftsmanship of Tsingtao Brewery. Lao Shan Premium Beer pours a pleasant and crispy malty flavour.



Ingredients: water, barley malt, rice, hops.",1.858333333,2.416666667,3.583333333,2.166666667,6.916666667,라거
34,레페 브라운,Leffe Brune,Belgian Ale - Dark / Amber,BE,"Bottle: Filtered

A traditional Belgian abbey beer with a deep brown colour and a full, sweet and fruity aroma.

Ingredients: Dark and torrefied malt, corn, water, hops and yeast.",3.480637354,0,0,0,0,"흑맥주, 벨기에 에일"
35,망고 링고,Mango Lingo,Radler / Shandy,KR,Hite Mango Lingo is a mango-flavored fruit mix beer. It contains natural mango extracts which bring out lightness and fruitiness that you can enjoy.,2.4,0,0,0,0,과일
36,하이트 프라임 맥스,Hite Prime Max,Pale Lager - International / Premium,KR,"100% all malt beer including the finest malt, selected Cascade aroma hop and soft creamy foam by our exclusive process.",1.95,2.405172414,3.784482759,2.137931034,7.206896552,라거
37,매그너스 쥬시 애플,Magners Juicy Apple,Apple Cider,IE,"Magners Juicy Apple is a premium Irish Cider crafted from the finest blend of juicy apples, picked from our orchards in Clonmel, Tipperary. A slightly sweeter apple cider for new entrants or consumers who prefer sweeter apple ciders.",2.65,2.5,5.5,4,8.5,과일
38,밀러 드래프트,Miller Genuine Draft (MGD),Pale Lager - American,US,"Representing a true innovation in American brewing, MGD's patented cold-filtered process fashions the smooth drinkability of draft beer available in bottles and cans.",1.689849624,2.659624413,3.697183099,2.213615023,6.953051643,라거
39,밀러 라이트,Miller Lite,Pale Lager - American,US,"This carefully crafted pilsner uses the finest ingredients and brewing techniques to ensure rich, full-bodied beer taste at only 96 calories.",1.507922393,2.44212963,3.548611111,2.118055556,6.828703704,라거
40,밀러 칠 체라다 스타일,Miller Chill Chelada Style,Flavored - Fruit,US,"Miller Chill, light beer with natural flavors.  Chelada style.  Inspired by a Mexican Recipe with lime and salt.",1.46991404,1.970982143,2.892857143,1.810267857,5.002232143,과일
41,밀러 하이 라이프,Miller High Life,Pale Lager - American,US,"Miller High Life, the ""champagne of beers,"" dates to 1903. Miller High Life is a classic American-style lager recognized for its consistently crisp, smooth taste and iconic clear-glass bottle. Miller High Life embraces its rich heritage and is known by its drinkers as an authentic, unpretentious beer. As the best beer value in America, we encourage beer drinkers to ""Take Back the High Life.""",1.852706553,2.796766744,4.327944573,2.52886836,8.512702079,라거
42,산미구엘페일필젠,San Miguel Pale Pilsen,Pale Lager - International / Premium,PH,"Also known as San Miguel Beer and San Miguel Draft.

Imported to the US as San Miguel Premium Lager until some time between 2006 &amp; 2008.

San Miguel Pale Pilsen, a pilsner popularly called San Miguel Beer, is the Company’s flagship brand and the Philippines’ leading brew. It is one of the world’s largest selling beers.   Made from imported barley malt, as well as German and American hops, it is exported to over 40 countries worldwide.",2.062146226,2.610738255,4.134228188,2.357941834,8.067114094,라거
43,삿포로,Sapporo Draft Beer,Pale Lager - International / Premium,JP,"This perfect balance between malt &amp; hops gives you a great drinking experience from the very first sip to the last.

Ingredients: water, barley malt, rice, corn, starch, hops.",2.568421053,0,0,0,0,라거
44,삿포로 리저브,Sapporo Reserve,Pale Lager - International / Premium,JP,"Sapporo Reserve is a super premium lager brewed almost twice as long as other competing brands. Reserve is brewed with only finest European barley, and the most select European hops.",2.513649025,2.887640449,4.935393258,2.733146067,9.825842697,라거
45,삿포로 프리미엄,Sapporo premium lager,Pale Lager - International / Premium,JP,,2.250280899,0,0,0,0,라거
46,산토리,Suntory The Premium Malt's,Pale Lager - International / Premium,JP,"The Premium Malt’s features a delicate floral aroma and a rich, quality taste. The Premium Malt’s is made from carefully selected pure ingredients using original brewing methods, in pursuit of the perfect premium beer.",2.656989247,2.961748634,5.393442623,2.81420765,10.57377049,라거
47,산토리카오루에일,Suntory The Premium Malt's Kaoru Ale,Blonde Ale / Golden Ale,JP,"A premium ale beer with a fruity taste. Top fermented.


Ingredients: water, barley malt (Diamond malt), hops.",3.280952381,3.1,6.55,3.1,12.55,에일
48,슈파텐 뮌헨,Spaten Munchner Munchen,Helles / Dortmunder Export,DE,"Bottle: Filtered.

Ingredients: Water, Barley Malt, Hops &amp; Hop extract.

Sold as Munchner Hell in Germany, Munchen in the UK and Premium in North America.

This beer is our speciality. In 1894 Spaten became the first brewery in Munich to produce this brand of light lager.  Golden in color with a well-balanced hop-flavor. The full rounded body is a superb balance between hops and a malty sweetness. 


11.7 Plato",2.883221925,0,0,0,0,"라거, 기타"
49,슈파텐 옥토버페스트,Spaten Oktoberfest Ur-Marzen,Marzen / Oktoberfest Bier,DE,Amber in color. This medium bodied beer has achieved its impeccable taste by balancing the roasted malt flavor with the perfect amount of hops. Having a rich textured palate with an underlying sweetness true to tradition.,3.331764706,3.599099099,6.538288288,3.416666667,13.33783784,"라거, 기타"
50,슈파텐 옵티메이터,Spaten Optimator,Bock - Doppelbock,DE,"Bottle: Filtered 
The classic German dark beer, bottom fermented ’Doppel Bock’. Full bodied with a deep dark color and rich roasted malt flavor.",3.652795031,3.800904977,7.235294118,3.694570136,14.54977376,"라거, 기타"
51,스텔라 아르투아,Stella Artois,Pale Lager - International / Premium,BE ,"Stella Artois is one of the world’s best-selling beers and is enjoyed in more than 80 countries. Its full, characteristic flavour and high quality is assured through a superior brewing process and by using the finest ingredients available.

The UK version is brewed, filtered and kegged at Samlesbury. Batches are sent to Magor for pasteurising before being canned or bottled.",2.541781577,3.183206107,5.27735369,2.870229008,10.68193384,라거
52,싱하,Singha Draft,Pale Lager - International / Premium,TH,"Note: This may be Singha under a different name, and may be merged when research has been completed.

Capturing the fresh taste of draft beer in a can, Singha Draft utilizes special filtration and sterilization processes to ensure quality and continuous freshness.",2.40754717,2.568627451,4.666666667,2.509803922,9.62745098,라거
53,써머스비 애플,Somersby Apple Cider,Apple Cider,DK ,"Now contains 51% cider. Danish: I England har man brygget æblecider i umindelige tider. Og den stolte tradition er udgangspunktet for udviklingen af Somersby Apple Cider. Dog har vi tilpasset vores cider til den danske smag.


I aromaen oplever du en duft af dejlige solmodne sommeræbler, og smagen afsluttes med en behagelig syre. Farven er gylden og med perlende bobler.",2.271028037,2.495297806,4.536050157,2.401253918,8.567398119,과일
54,바르슈타이너,Warsteiner Premium Verum,Pilsener / Pils / Pilsner,DE,Classic German Pilsener,2.721159303,3.141509434,5.294811321,2.849056604,10.57311321,필스너
55,바르슈타이너 던켈,Warsteiner Premium Dunkel,Dark Lager - Dunkel / Tmavy,DE,A light bodied clean dark lager.,3.071807229,3.408988764,6.112359551,3.15505618,12.45168539,"라거, 흑맥주"
56,벡스,Beck's,Pale Lager - International / Premium,DE,"Our original Beck’s is a classic German lager beer with a distinctive full-bodied taste, fresh ""hoppy"" bouquet, golden color and full rich head. Adding to its complexity is a slightly fruity but firm crispness and a dry, clean finish.",2.354793962,2.831381733,4.601873536,2.533957845,8.892271663,라거
57,벡스 흑맥주,Beck's Dark,Dark Lager - Dunkel / Tmavy,DE,"Beck’s Dark is rich and smooth with a lingering, slightly sweet aftertaste. The deep ebony color is the result of specially roasting the barley malt. Unlike dark ales, Beck’s Dark is a bottom-fermented lager which creates a robust flavor and full body while retaining the refreshing properties of a lager beer.",2.577777778,3.2,4.955555556,2.748888889,9.948888889,"라거, 흑맥주"
58,브루독 펑크 AF,BrewDog Punk AF,Low / No Alcohol Beer - Pale,US,"No alcohol just got Punked up. And Punk AF lives up to its billing. All the attitude, all the flavour but none of the alcohol. Say hello to the Punkest alcohol free beer in town. Juicy tropical fruit mixes it up with grassy and pine notes. All sitting on a solid malt bassline. Full flavour, no alcohol, all Punk.",2.919459459,3.060240964,5.626506024,2.722891566,11.63855422,무알코올
59,브루독 펑크 IPA,BrewDog Punk IPA (5.6%),IPA,GB,"Bottle, keg and can: Filtered

Ingredients: Extra Pale Malt; Chinook, Ahtanum, Amarillo, Cascade, Simcoe, Nelson Sauvin hops. IBUs 45

This fresh, full flavour natural beer is our tribute to the classic IPAs of yester-year. The post modern twist is the addition of amazing fruity hops giving an explosion of tropical fruit flavours and a sharp bitter finish.",3.736439449,3.693370166,7.110497238,3.591160221,14.52209945,IPA
60,블루문,Blue Moon Belgian White,Witbier / Belgian White Ale,US,"""Belgian White Ale"" (North America) / ""North American Craft Beer"" (UK)

Brewed with oats for creaminess and spiced with the perfect combination of orange peel and coriander.

An unfiltered wheat ale spiced in the Belgian tradition for an uncommonly smooth taste.

Gold medalist (white beer) at 1995 World Beer Championships, silver medalist (white beer) at 1996 and 1997 World Beer Championships. 171 calories per 12-ounce serving and 5.4% abv.
 Editor’s Note:  Much of this beer’s production now comes from the Molson brewery in Toronto.  A small portion of Denver draught production comes from the SandLot brewery.  Still other product may continue to hail from Golden.  7/19/08.",3.015443252,3.348600509,6.073791349,3.127226463,12.0610687,"에일, 벨기에 에일"
61,아사히 슈퍼 드라이,Asahi Super Dry,Pale Lager - International / Premium,JP,"Pasteurised bottle.


Asahi Super Dry was a direct result of extensive market research which indicated a consumer preference for a more palatable beer with less maltiness, relatively high alcohol content and a light aftertaste, that paired well with the changing Japanese diet. With this insight Asahi used its brewing knowledge to develop a beer with a crisp bite, refreshing taste and clear finish to satisfied this requirement. Code named project FX, Asahi engineered a highly attenuated, highly carbonated pilsner. The later renamed product, Super Dry began sales on March 17th 1987 and gave birth to the dry beer category. The market success spawned similar competitor products and initiated what was known as the “Dry Wars” in Japan and a brief marketing fad for dry beers internationally. However Asahi has stood the test of time and now years later Super Dry continues it legacy as the world’s premier dry beer. 

Special Yeast - Asahi # 318 is the proprietary ingredient used to give Super Dry its “dryness”. This special strand of yeast produces high attenuation during fermentation in conjunction with the choice grains.

Finest Ingredients ? Asahi uses select grains and hops sourced worldwide based on strict criteria to maintain flavor consistency and promote sustainability. Barely with high starch content and both noble style bitter and fine aroma hops are key contributors to Super Dry’s smooth taste. 

ABV 4.9-5% (Depends on package type and location)
IBU 20
SRM 4",2.201186357,2.798578199,4.646919431,2.601895735,9.182464455,라거
62,아사히 드라이 블랙,Asahi Super Dry Black,Dark Lager - International / Premium,JP,,2.715966387,3.307692308,5.145299145,2.700854701,10.53846154,"라거, 흑맥주"
63,아사히 프라임 리치,Asahi Clear Prime Rich,Pale Lager - International / Premium,JP,"The highest quality in clear, rich taste. Brewed from quality ingredients by using our pure cultured yeast and our advanced brewing technologies.

Ingredients: barley malt, hops, barley, corn, starch.",2.396296296,2.807692308,4.846153846,2.538461538,9.230769231,라거
64,애플 폭스,Apple Fox,Apple Cider,MY,"Tempted by the juiciest apples it’s ever seen, the Fox picked them from the best orchards. Crafted by New Zealand’s cider makers, this cider truly rules them all with a crisp, refreshing taste. So go on and add a little magic to your journeys.",2.5,2.8,5,2.6,9.6,과일
65,에델바이스 스노우프레쉬,Edelweiss Weissbier Snowfresh,Weissbier - Hefeweizen,AT,"Aromatic taste of alpine herbs.
12.3°",3.246175637,3.331428571,6.482857143,3.205714286,13.07714286,밀맥주
66,에딩거 바이스비어,Erdinger Weissbier,Weissbier - Hefeweizen,DE,"Bottle: Unfiltered; Keg: Filtered 

The strength of this classic wheat beer lies in the harmonious balance it achieves between the various aromas. Gently spicy wheat and yeast aromas blend with mildly bitter hops. The invigorating carbon dioxide ensures its typical liveliness. A premium beer whose full-bodied yet elegant character leaves a lasting impression of ultimate Bavarian enjoyment. A truly unique wheat beer!

Erdinger Weißbrau allows its top-fermenting specialty to mature in the bottle in the traditional manner, just like champagne. This wheat beer from Erding offers more than just sparkling refreshment ? it gives a true taste of Bavaria.",3.160859896,3.631840796,6.248756219,3.286069652,12.81343284,밀맥주
67,예비스,Sapporo Yebisu,Pale Lager - International / Premium,JP,Yebisu beer is a rich and mellow premium beer brewed from 100% fine malt and select hops with Sapporo’s traditional art.,2.500569801,2.841954023,4.979885057,2.646551724,9.841954023,라거
68,이슬 톡톡,Isul Tok Tok,Radler / Shandy,KR,Can: Filtered,2.125,0,0,0,0,과일
69,하이트 스타우트,Hite Black Beer Stout,Schwarzbier / Black Lager,KR ,Lager type black beer from German dark roasted malt.,2.407978723,2.824468085,4.696808511,2.388297872,9.037234043,"라거, 흑맥주"
70,예거 라들러 레몬,Egger Naturtruber Zitronenradler,Radler / Shandy,AT,"Editor’s note: Naturtrub (unfiltered) and different from the ordinary Egger Radler.
Sold as Egger Lemon Radler in Netto, Denmark.",2.08125,2.382978723,4.021276596,2.276595745,7.638297872,과일
71,예거 라들러 자몽,Egger Grapefruit Radler,Radler / Shandy,AT,"Nicht nur an heißen Tagen erfrischt der Egger Grapefruit-Radler mit seinen 2,5 % Vol. Alk. und 5% Saftanteil all jene, die bestes Bier mit einem Schuss Grapefruit suchen.",2.410416667,2.6875,4.708333333,2.520833333,8.895833333,과일
72,제주 백록담,Jeju Baengnokdam Ale,Witbier / Belgian White Ale,KR,"Baengnokdam is a white ale brewed with the clearest water of Jeju Island. Featuring Jeju's yeast and orange, it gives out a light and citrus flavor.

Ingredients: water, barley malt, wheat malt, orange zest, coriander seeds, Hanrabong (Jeju mandarin orange), hops, yeast.",2.9,2.571428571,6.142857143,2.428571429,11.85714286,"밀맥주, 벨기에 에일"
